,resId,siteNo,hiveNo,frameNo,hour,paramText,anMethText,resVal,resUnit,resUnit_desc,resValUncert,resValUncertSD,resQualValue,date
151321,CW207656,3,1,,14,Colony weight,Automatic recording,25.3,G167A,Kilogram,,,,2019-05-26 14:00:00
151324,CW207654,3,1,,12,Colony weight,Automatic recording,25.3,G167A,Kilogram,,,,2019-05-26 12:00:00
151328,CW207652,3,1,,10,Colony weight,Automatic recording,25.3,G167A,Kilogram,,,,2019-05-26 10:00:00
151331,CW207650,3,1,,8,Colony weight,Automatic recording,25.4,G167A,Kilogram,,,,2019-05-26 08:00:00
151335,CW207648,3,1,,6,Colony weight,Automatic recording,25.5,G167A,Kilogram,,,,2019-05-26 06:00:00
151338,CW207646,3,1,,4,Colony weight,Automatic recording,25.4,G167A,Kilogram,,,,2019-05-26 04:00:00
151342,CW207644,3,1,,2,Colony weight,Automatic recording,25.5,G167A,Kilogram,,,,2019-05-26 02:00:00
151345,CW207642,3,1,,0,Colony weight,Automatic recording,25.5,G167A,Kilogram,,,,2019-05-26 00:00:00
151347,CW207641,3,1,,22,Colony weight,Automatic recording,25.6,G167A,Kilogram,,,,2019-05-25 22:00:00
151350,CW207640,3,1,,21,Colony weight,Automatic recording,25.6,G167A,Kilogram,,,,2019-05-25 21:00:00
151353,CW207638,3,1,,19,Colony weight,Automatic recording,25.7,G167A,Kilogram,,,,2019-05-25 19:00:00
151357,CW207636,3,1,,17,Colony weight,Automatic recording,25.7,G167A,Kilogram,,,,2019-05-25 17:00:00
151360,CW207634,3,1,,15,Colony weight,Automatic recording,25.3,G167A,Kilogram,,,,2019-05-25 15:00:00
151364,CW207632,3,1,,13,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-25 13:00:00
151367,CW207630,3,1,,11,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-25 11:00:00
151371,CW207628,3,1,,9,Colony weight,Automatic recording,24.9,G167A,Kilogram,,,,2019-05-25 09:00:00
151374,CW207626,3,1,,7,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-25 07:00:00
151377,CW207625,3,1,,6,Colony weight,Automatic recording,25.0,G167A,Kilogram,,,,2019-05-25 06:00:00
